Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Barrel_Jack_Switch","BarrelJack_GCT_DCJ200-10-A_Horizontal",-129.936000,-104.991017,0.000000,bottom
"J5","USB_B_Mini","USB_Micro-AB_Molex_47590-0001",-129.794000,-23.181017,180.000000,bottom
"J7","RJ45_Amphenol_RJMG1BD3B8K1ANR","RJ45_Amphenol_RJMG1BD3B8K1ANR",-134.366000,-112.014000,180.000000,bottom
"SW1","Reset","SW_PUSH_6mm",-142.374000,-96.863017,90.000000,bottom
"SW2","Button","SW_PUSH_6mm",-122.054000,-96.863017,90.000000,bottom
"T","1","5a662cb5-53b2-4871-a053-28611102a7eb",-123.900000,-24.500000,180.000000,bottom
"U6","LM2596","LM2596-Module",-119.311000,-26.227000,-90.000000,bottom
